arg-id,x,y,probability,cluster-id
A185001345000000042_3,1.4130809,5.79282,0.9860239307213243,3
A185001345000000042_4,1.5593265,5.8809643,1.0,3
A185001345000000042_5,2.0560958,11.146437,1.0,6
A185001345000000043_0,-0.6231613,10.265146,1.0,0
A185001345000000043_1,-0.68365717,6.644495,1.0,1
A185001345000000043_2,-0.33038154,6.5421557,0.6025607973684989,1
A185001345000000043_3,-0.17704378,10.323459,0.8067605782887001,0
A185001345000000043_4,0.009138645,10.312,1.0,0
A185001345000000044_0,-0.7232882,6.534212,0.0,1
A185001345000000044_1,-0.9663579,6.87767,1.0,1
A185001345000000044_2,0.43641183,5.900071,0.9127282270641323,3
A185001345000000044_3,-0.8001228,6.883936,1.0,1
A185001345000000044_4,0.19874224,10.481043,1.0,0
A185001345000000044_5,-0.6073253,10.192578,1.0,0
A185001345000000044_6,-0.5645453,10.191708,1.0,0
A185001345000000044_7,-0.3309894,8.42234,0.0,2
A185001345000000044_8,0.11531207,10.587157,0.8612786025587962,0
A185001345000000045_0,0.052717257,8.085569,1.0,2
A185001345000000045_1,-0.027420837,8.2005205,1.0,2
A185001345000000045_2,1.1337476,7.716683,1.0,2
A185001345000000046_0,-0.096410975,9.669599,0.7529947337352888,0
A185001345000000046_1,0.48145205,6.1348505,1.0,3
A185001345000000046_2,1.4962218,5.9360056,1.0,3
A185001345000000046_3,0.29142857,6.6233954,0.0,3
A185001345000000046_4,0.35900775,8.957474,1.0,2
A185001345000000047_0,2.369402,7.5094895,1.0,5
A185001345000000047_1,2.3987126,7.3399515,1.0,5
A185001345000000047_2,2.7273347,8.120935,0.5781912482057602,5
A185001345000000047_3,2.856527,10.866314,0.6368212036182184,6
A185001345000000048_0,0.6700648,7.198789,1.0,2
A185001345000000048_1,0.9979743,8.160496,1.0,2
A185001345000000048_2,-0.14542891,6.775624,0.5396149863486187,1
A185001345000000048_3,1.4979982,9.541227,0.7730202325538373,4
A185001345000000048_4,2.1943464,10.819178,0.8644221993916604,6
A185001345000000048_5,2.9737797,10.109928,0.0,6
